Draw Date,Results,Bonus,Jackpot,Outcome
2014 July 12,"['2', '3', '7', '14', '41', '42']",40,"$13,216,946.60",Won
2014 July 9,"['20', '25', '28', '31', '37', '41']",16,"$9,701,150.40",Roll
2014 July 5,"['11', '19', '30', '33', '38', '41']",24,"$7,000,000",Roll
2014 July 2,"['13', '20', '27', '28', '47', '49']",15,"$5,000,000",Roll
2014 June 28,"['10', '28', '32', '37', '43', '46']",45,"$5,000,000",Won
2014 June 25,"['1', '10', '24', '28', '39', '45']",43,"$18,397,958.80",Won
2014 June 21,"['13', '20', '26', '27', '31', '39']",12,"$14,310,993.90",Roll
2014 June 18,"['15', '21', '22', '28', '38', '45']",43,"$10,319,368.10",Roll
2014 June 14,"['7', '15', '25', '38', '44', '47']",10,"$7,000,000",Roll
2014 June 11,"['4', '27', '33', '38', '41', '46']",14,"$5,000,000",Roll
2014 June 7,"['3', '24', '28', '40', '43', '48']",15,"$5,000,000",Won
2014 June 4,"['7', '11', '12', '13', '35', '41']",18,"$13,972,983.80",Won
2014 May 31,"['19', '28', '30', '32', '37', '45']",44,"$10,614,620.10",Roll
2014 May 28,"['13', '23', '28', '31', '34', '38']", 8,"$7,000,000",Roll
2014 May 24,"['5', '9', '37', '43', '46', '48']",14,"$5,000,000",Roll
2014 May 21,"['23', '34', '43', '44', '47', '49']",45,"$7,000,000",Won
2014 May 17,"['24', '33', '35', '40', '43', '49']",16,"$5,000,000",Roll
2014 May 14,"['2', '25', '27', '28', '31', '47']",20,"$9,985,306.70",Won
2014 May 10,"['16', '23', '33', '36', '48', '49']",37,"$7,000,000",Roll
2014 May 7,"['4', '7', '12', '20', '40', '49']",14,"$5,000,000",Roll
2014 May 3,"['1', '7', '11', '17', '27', '47']",34,"$7,000,000",Won
2014 April 30,"['3', '9', '25', '32', '35', '45']",23,"$5,000,000",Roll
2014 April 26,"['3', '11', '12', '19', '21', '29']", 9,"$17,883,530.40",Won
2014 April 23,"['22', '25', '35', '40', '45', '46']",38,"$14,391,135.60",Roll
2014 April 19,"['6', '15', '40', '41', '42', '44']", 4,"$10,696,454.10",Roll
2014 April 16,"['3', '16', '26', '40', '41', '49']",14,"$7,000,000",Roll
2014 April 12,"['2', '7', '35', '36', '42', '45']",30,"$5,000,000",Roll
2014 April 9,"['8', '12', '20', '27', '32', '43']",17,"$7,000,000",Won
2014 April 5,"['13', '16', '17', '23', '27', '37']", 3,"$5,000,000",Roll
2014 April 2,"['9', '11', '32', '36', '38', '40']",26,"$10,846,570.50",Won
2014 March 29,"['15', '22', '25', '26', '42', '43']", 9,"$7,133,904.80",Roll
2014 March 26,"['2', '18', '35', '42', '45', '47']",43,"$5,000,000",Roll
2014 March 22,"['3', '6', '12', '14', '25', '28']",36,"$18,799,377.90",Won
2014 March 19,"['13', '24', '28', '34', '45', '49']",21,"$14,709,491.70",Roll
2014 March 15,"['2', '7', '11', '16', '47', '48']",20,"$10,855,907.80",Roll
2014 March 12,"['6', '12', '14', '17', '30', '49']",16,"$7,220,109.50",Roll
2014 March 8,"['11', '16', '18', '33', '34', '35']",28,"$5,000,000",Roll
2014 March 5,"['7', '26', '31', '38', '46', '47']",12,"$7,247,826",Won
2014 March 1,"['3', '8', '16', '23', '34', '44']",41,"$5,000,000",Roll
2014 February 26,"['24', '25', '26', '30', '34', '39']", 3,"$7,000,000",Won
2014 February 22,"['9', '13', '19', '22', '33', '34']",20,"$5,000,000",Roll
2014 February 19,"['2', '7', '15', '24', '37', '45']",13,"$17,356,812.80",Won
2014 February 15,"['1', '8', '37', '39', '44', '45']",21,"$13,828,366.30",Roll
2014 February 12,"['3', '12', '16', '20', '28', '31']",37,"$9,809,851.10",Roll
2014 February 8,"['2', '5', '16', '36', '41', '43']",25,"$7,000,000",Roll
2014 February 5,"['3', '16', '18', '21', '28', '47']", 5,"$5,000,000",Roll
2014 February 1,"['10', '14', '18', '27', '31', '48']", 1,"$11,031,692.30",Won
2014 January 29,"['17', '29', '36', '39', '46', '49']",30,"$7,000,000",Roll
2014 January 25,"['6', '15', '22', '23', '41', '43']",37,"$5,000,000",Roll
2014 January 22,"['4', '16', '18', '25', '36', '40']",11,"$10,380,999.40",Won
2014 January 18,"['2', '15', '33', '36', '42', '49']",13,"$7,000,000",Roll
2014 January 15,"['2', '15', '25', '27', '38', '46']",33,"$5,000,000",Roll
2014 January 11,"['3', '11', '15', '21', '23', '33']",32,"$5,000,000",Won
2014 January 8,"['1', '12', '17', '22', '29', '44']",35,"$5,000,000",Won
2014 January 4,"['1', '15', '21', '22', '38', '39']",19,"$5,000,000",Won
2014 January 1,"['4', '6', '7', '11', '12', '40']",15,"$5,000,000",Won
2015 December 30,"['17', '19', '21', '30', '39', '44']",16,"$20,061,295",Roll
2015 December 26,"['12', '16', '22', '29', '35', '40']", 8,"$15,857,643.40",Roll
2015 December 23,"['5', '9', '17', '31', '38', '46']",10,"$11,686,337.30",Roll
2015 December 19,"['4', '15', '20', '23', '27', '49']",25,"$7,000,000",Roll
2015 December 16,"['7', '20', '33', '36', '39', '48']",21,"$5,000,000",Roll
2015 December 12,"['2', '10', '18', '20', '30', '41']",38,"$14,519,825.30",Won
2015 December 9,"['4', '20', '26', '37', '45', '46']", 6,"$10,646,227.70",Roll
2015 December 5,"['10', '11', '17', '24', '26', '29']",12,"$7,021,559.10",Roll
2015 December 2,"['5', '20', '33', '34', '38', '48']",21,"$5,000,000",Roll
2015 November 28,"['4', '7', '13', '15', '27', '28']",30,"$19,643,388.70",Won
2015 November 25,"['1', '2', '3', '4', '29', '48']",21,"$14,674,585.60",Roll
2015 November 21,"['7', '16', '28', '29', '48', '49']", 9,"$10,346,162.50",Roll
2015 November 18,"['3', '8', '25', '27', '36', '38']",32,"$7,000,000",Roll
2015 November 14,"['5', '8', '23', '39', '41', '48']",26,"$5,000,000",Roll
2015 November 11,"['8', '13', '20', '24', '37', '42']",22,"$5,000,000",Won
2015 November 7,"['2', '3', '9', '17', '20', '21']",11,"$24,518,434.50",Won
2015 November 4,"['2', '4', '20', '35', '39', '42']",28,"$20,291,563",Roll
2015 October 31,"['3', '14', '20', '28', '40', '44']",48,"$15,926,750.80",Roll
2015 October 28,"['8', '9', '15', '26', '37', '48']",12,"$11,592,118.30",Roll
2015 October 24,"['1', '13', '28', '34', '37', '45']",32,"$7,892,636.50",Roll
2015 October 21,"['8', '17', '22', '33', '40', '49']",27,"$3,828,099.60",Roll
2015 October 17,"['4', '5', '6', '22', '29', '30']",20,"$64,000,000",Won
2015 October 14,"['23', '31', '32', '34', '35', '44']",10,"$50,000,000",Roll
2015 October 10,"['8', '12', '22', '27', '35', '41']",16,"$41,329,474.40",Roll
2015 October 7,"['4', '10', '19', '31', '38', '43']", 5,"$34,945,239.30",Roll
2015 October 3,"['1', '3', '15', '27', '31', '36']",33,"$30,000,000",Roll
2015 September 30,"['1', '6', '8', '13', '21', '26']", 3,"$25,113,049",Roll
2015 September 26,"['6', '13', '14', '24', '32', '34']",12,"$21,146,024.60",Roll
2015 September 23,"['7', '13', '19', '35', '42', '44']",46,"$16,614,711.70",Roll
2015 September 19,"['12', '15', '17', '21', '25', '32']",14,"$12,989,054.20",Roll
2015 September 16,"['1', '2', '9', '12', '21', '39']",44,"$9,402,955.10",Roll
2015 September 12,"['9', '10', '26', '29', '38', '42']",33,"$7,000,000",Roll
2015 September 9,"['15', '16', '29', '30', '42', '44']",37,"$5,000,000",Roll
2015 September 5,"['10', '21', '36', '37', '42', '48']",43,"$7,000,000",Won
2015 September 2,"['14', '16', '23', '28', '46', '48']",10,"$5,000,000",Roll
2015 August 29,"['13', '30', '36', '40', '42', '46']",22,"$7,000,000",Won
2015 August 26,"['5', '7', '24', '45', '46', '49']",44,"$5,000,000",Roll
2015 August 22,"['14', '22', '31', '37', '43', '49']",15,"$18,105,802.40",Won
2015 August 19,"['8', '12', '25', '38', '45', '48']",39,"$13,828,967.30",Roll
2015 August 15,"['5', '11', '20', '26', '29', '36']",49,"$10,305,963.10",Roll
2015 August 12,"['20', '24', '27', '28', '38', '48']", 2,"$7,000,000",Roll
2015 August 8,"['21', '26', '30', '31', '32', '48']",18,"$5,000,000",Roll
2015 August 5,"['8', '23', '29', '34', '35', '48']",36,"$14,200,838.30",Won
2015 August 1,"['1', '4', '7', '9', '12', '37']",27,"$10,442,569.40",Roll
2015 July 29,"['1', '8', '29', '31', '35', '39']",23,"$7,191,237.80",Roll
2015 July 25,"['16', '28', '41', '43', '47', '49']",21,"$5,000,000",Roll
2015 July 22,"['6', '9', '13', '26', '27', '46']",15,"$41,064,048",Won
2015 July 18,"['2', '12', '22', '28', '41', '48']", 5,"$35,611,286.50",Roll
2015 July 15,"['11', '18', '38', '40', '43', '46']",26,"$30,579,013",Roll
2015 July 11,"['9', '20', '25', '27', '31', '32']", 3,"$25,765,999.40",Roll
2015 July 8,"['3', '8', '41', '43', '46', '47']",49,"$21,649,635.70",Roll
2015 July 4,"['20', '22', '23', '24', '39', '41']",26,"$17,618,834.80",Roll
2015 July 1,"['21', '29', '32', '40', '43', '44']",19,"$13,675,046.90",Roll
2015 June 27,"['7', '15', '27', '31', '35', '44']", 2,"$10,024,219.50",Roll
2015 June 24,"['9', '13', '15', '18', '21', '46']",25,"$7,000,000",Roll
2015 June 20,"['10', '11', '30', '33', '41', '44']",20,"$5,000,000",Roll
2015 June 17,"['6', '7', '17', '18', '20', '32']", 4,"$17,368,141.30",Won
2015 June 13,"['5', '8', '21', '31', '40', '45']",19,"$13,988,578",Roll
2015 June 10,"['26', '37', '40', '43', '44', '45']", 3,"$10,439,581.50",Roll
2015 June 6,"['8', '12', '22', '35', '38', '44']",27,"$7,000,000",Roll
2015 June 3,"['26', '28', '33', '35', '37', '46']",47,"$5,000,000",Roll
2015 May 30,"['4', '9', '17', '27', '36', '49']",21,"$10,188,759.60",Won
2015 May 27,"['23', '27', '36', '41', '43', '47']",35,"$7,000,000",Roll
2015 May 23,"['8', '23', '24', '31', '35', '44']",49,"$5,000,000",Roll
2015 May 20,"['2', '4', '12', '17', '18', '47']",14,"$9,707,953.30",Won
2015 May 16,"['1', '12', '22', '25', '35', '45']", 9,"$7,000,000",Roll
2015 May 13,"['3', '16', '24', '40', '41', '48']",20,"$5,000,000",Roll
2015 May 9,"['1', '16', '21', '22', '33', '43']", 7,"$5,000,000",Won
2015 May 6,"['13', '16', '19', '24', '27', '30']",48,"$27,523,073.20",Roll
2015 May 2,"['2', '8', '17', '23', '40', '42']",25,"$23,076,560.40",Roll
2015 April 29,"['10', '21', '34', '37', '45', '49']",43,"$18,379,135.90",Roll
2015 April 25,"['7', '13', '23', '25', '40', '41']",48,"$13,995,756.30",Roll
2015 April 22,"['4', '24', '27', '35', '38', '48']",44,"$10,258,150.40",Roll
2015 April 18,"['11', '25', '33', '35', '44', '49']",43,"$7,000,000",Roll
2015 April 15,"['11', '13', '25', '34', '41', '45']", 4,"$5,000,000",Roll
2015 April 11,"['5', '8', '22', '23', '27', '37']",11,"$10,584,398",Won
2015 April 8,"['2', '4', '14', '16', '18', '19']",25,"$7,056,297.80",Roll
2015 April 4,"['2', '9', '32', '33', '35', '49']", 4,"$5,000,000",Roll
2015 April 1,"['4', '7', '12', '16', '22', '24']",41,"$34,967,874.60",Won
2015 March 28,"['12', '15', '21', '23', '40', '48']", 8,"$30,051,073.70",Roll
2015 March 25,"['6', '14', '16', '29', '38', '46']", 5,"$24,894,040.80",Roll
2015 March 21,"['8', '22', '29', '32', '33', '35']", 2,"$20,434,074.60",Roll
2015 March 18,"['16', '17', '37', '39', '41', '45']",14,"$14,792,527.70",Roll
2015 March 14,"['9', '19', '38', '40', '45', '47']",13,"$10,030,071.10",Roll
2015 March 11,"['7', '9', '21', '40', '44', '45']",42,"$7,000,000",Roll
2015 March 7,"['4', '10', '15', '18', '26', '41']",16,"$5,000,000",Roll
2015 March 4,"['2', '10', '14', '19', '28', '33']",48,"$5,000,000",Won
2015 February 28,"['5', '14', '39', '42', '46', '49']",17,"$5,000,000",Won
2015 February 25,"['15', '17', '25', '29', '30', '35']",14,"$5,000,000",Won
2015 February 21,"['3', '4', '9', '14', '23', '48']",26,"$5,000,000",Won
2015 February 18,"['3', '6', '11', '15', '20', '37']",31,"$5,000,000",Won
2015 February 14,"['9', '10', '15', '18', '21', '37']",20,"$13,888,226.10",Won
2015 February 11,"['1', '13', '24', '29', '43', '49']", 8,"$10,004,155.50",Roll
2015 February 7,"['14', '16', '24', '41', '42', '48']",34,"$7,000,000",Roll
2015 February 4,"['6', '8', '10', '22', '30', '43']",23,"$5,000,000",Roll
2015 January 31,"['9', '13', '18', '20', '24', '36']", 5,"$10,052,203.30",Won
2015 January 28,"['3', '4', '5', '8', '33', '38']",14,"$7,000,000",Roll
2015 January 24,"['2', '8', '9', '11', '21', '39']",37,"$5,000,000",Roll
2015 January 21,"['3', '15', '17', '35', '44', '46']",23,"$5,000,000",Won
2015 January 17,"['9', '15', '21', '27', '35', '40']", 5,"$35,164,526.30",Won
2015 January 14,"['15', '16', '17', '28', '33', '44']",36,"$29,921,736.10",Roll
2015 January 10,"['1', '11', '23', '25', '27', '30']",43,"$25,012,192.20",Roll
2015 January 7,"['10', '16', '31', '36', '38', '47']",22,"$20,878,927.20",Roll
2015 January 3,"['12', '21', '28', '37', '40', '43']",38,"$16,512,588",Roll
2016 December 31,"['3', '5', '14', '18', '26', '28']",40,"$5,000,000",Roll
2016 December 28,"['1', '5', '10', '15', '40', '41']",27,"$10,733,409.60",Won
2016 December 24,"['15', '20', '23', '27', '39', '48']",34,"$7,769,562.80",Roll
2016 December 21,"['16', '27', '30', '38', '47', '49']", 8,"$5,000,000",Roll
2016 December 17,"['9', '16', '26', '27', '32', '34']",37,"$9,814,798.20",Won
2016 December 14,"['20', '22', '40', '41', '42', '47']",15,"$7,000,000",Roll
2016 December 10,"['3', '37', '40', '41', '47', '49']", 6,"$5,000,000",Roll
2016 December 7,"['6', '7', '12', '32', '34', '46']",33,"$5,000,000",Won
2016 December 3,"['3', '4', '7', '19', '30', '48']",21,"$24,743,962.40",Won
2016 November 30,"['15', '16', '20', '24', '26', '31']",37,"$21,029,543.60",Roll
2016 November 26,"['13', '14', '31', '39', '42', '45']",44,"$16,956,498",Roll
2016 November 23,"['6', '12', '13', '21', '31', '42']",22,"$12,539,835.20",Roll
2016 November 19,"['9', '11', '21', '26', '28', '45']",49,"$9,000,000",Roll
2016 November 16,"['3', '5', '6', '9', '33', '47']",19,"$7,000,000",Roll
2016 November 12,"['2', '4', '6', '22', '25', '42']",44,"$5,000,000",Roll
2016 November 9,"['6', '9', '30', '37', '43', '49']",18,"$32,707,357",Won
2016 November 5,"['11', '17', '26', '27', '37', '48']",31,"$30,000,000",Roll
2016 November 2,"['4', '7', '9', '21', '25', '42']",49,"$23,866,343.40",Roll
2016 October 29,"['21', '25', '26', '29', '36', '45']",38,"$20,221,089.70",Roll
2016 October 26,"['15', '17', '24', '27', '42', '47']",39,"$16,310,814.90",Roll
2016 October 22,"['13', '24', '29', '31', '33', '47']",43,"$13,045,221.90",Roll
2016 October 19,"['4', '21', '28', '33', '38', '41']",23,"$9,665,802",Roll
2016 October 15,"['8', '29', '30', '37', '41', '44']", 6,"$7,000,000",Roll
2016 October 12,"['8', '28', '31', '40', '42', '47']",37,"$5,000,000",Roll
2016 October 8,"['3', '27', '33', '38', '42', '48']",32,"$20,531,312.50",Won
2016 October 5,"['1', '3', '31', '32', '39', '49']",48,"$16,257,483",Roll
2016 October 1,"['7', '18', '22', '31', '38', '39']", 2,"$12,646,124.80",Roll
2016 September 28,"['8', '11', '14', '19', '42', '49']",24,"$9,183,019",Roll
2016 September 24,"['2', '5', '17', '23', '33', '47']", 9,"$7,000,000",Roll
2016 September 21,"['6', '21', '33', '36', '39', '46']",24,"$5,000,000",Roll
2016 September 17,"['14', '16', '25', '39', '45', '47']",26,"$9,714,091.40",Won
2016 September 14,"['3', '5', '17', '18', '35', '46']",10,"$7,000,000",Roll
2016 September 10,"['6', '13', '22', '39', '40', '41']",27,"$5,000,000",Roll
2016 September 7,"['4', '8', '30', '31', '35', '43']",42,"$5,000,000",Won
2016 September 3,"['1', '15', '17', '20', '23', '43']",44,"$50,000,000",Won
2016 August 31,"['8', '10', '17', '36', '39', '44']",40,"$5,000,000",Won
2016 August 27,"['3', '14', '16', '33', '47', '48']",29,"$13,612,423",Won
2016 August 24,"['4', '17', '22', '30', '36', '38']", 3,"$10,034,039",Roll
2016 August 20,"['11', '20', '26', '32', '39', '43']",49,"$7,000,000",Roll
2016 August 17,"['2', '12', '19', '38', '41', '47']",46,"$5,000,000",Roll
2016 August 13,"['3', '4', '15', '17', '38', '47']",36,"$21,054,565.60",Won
2016 August 10,"['6', '25', '26', '29', '37', '43']",41,"$17,058,147.20",Roll
2016 August 6,"['2', '7', '22', '26', '32', '38']",20,"$13,155,583.30",Roll
2016 August 3,"['23', '30', '38', '40', '43', '45']",10,"$9,664,679.50",Roll
2016 July 30,"['4', '5', '9', '19', '22', '23']",16,"$7,000,000",Roll
2016 July 27,"['6', '7', '9', '39', '47', '49']",15,"$5,000,000",Roll
2016 July 23,"['7', '18', '34', '41', '48', '49']",29,"$5,000,000",Won
2016 July 20,"['14', '15', '16', '43', '44', '46']",38,"$5,000,000",Won
2016 July 16,"['15', '25', '26', '33', '38', '47']",27,"$5,000,000",Won
2016 July 13,"['2', '7', '25', '30', '34', '36']", 6,"$7,000,000",Won
2016 July 9,"['23', '28', '30', '32', '42', '44']",24,"$5,000,000",Roll
2016 July 6,"['7', '12', '22', '35', '39', '43']",13,"$9,383,662.50",Roll
2016 July 2,"['1', '16', '28', '33', '39', '45']",13,"$7,000,000",Roll
2016 June 29,"['8', '11', '20', '24', '41', '42']",47,"$5,000,000",Roll
2016 June 25,"['4', '5', '6', '8', '39', '42']",30,"$7,000,000",Won
2016 June 22,"['5', '15', '17', '18', '37', '42']",44,"$5,000,000",Roll
2016 June 18,"['7', '8', '22', '32', '40', '45']",25,"$12,803,467.90",Won
2016 June 15,"['7', '16', '22', '27', '35', '49']",11,"$9,332,792.30",Roll
2016 June 11,"['9', '28', '36', '37', '40', '46']",47,"$7,000,000",Roll
2016 June 8,"['6', '23', '34', '35', '38', '44']",21,"$5,000,000",Roll
2016 June 4,"['3', '4', '6', '10', '18', '26']",14,"$7,000,000",Won
2016 June 1,"['2', '10', '14', '23', '26', '31']",12,"$5,000,000",Roll
2016 May 28,"['18', '29', '31', '36', '43', '47']",23,"$9,824,873.50",Won
2016 May 25,"['4', '17', '18', '24', '29', '39']",21,"$7,000,000",Roll
2016 May 21,"['6', '10', '37', '39', '42', '48']",28,"$5,000,000",Roll
2016 May 18,"['4', '11', '21', '25', '44', '47']", 3,"$13,238,370.90",Won
2016 May 14,"['8', '21', '24', '33', '41', '46']",29,"$9,801,860.10",Roll
2016 May 11,"['4', '23', '25', '36', '47', '48']", 3,"$7,000,000",Roll
2016 May 7,"['6', '8', '25', '31', '32', '33']", 1,"$5,000,000",Roll
2016 May 4,"['4', '16', '19', '22', '36', '40']",21,"$5,000,000",Won
2016 April 30,"['1', '7', '18', '28', '30', '34']",48,"$20,997,902.50",Won
2016 April 27,"['3', '18', '28', '29', '37', '43']",47,"$17,091,814.40",Roll
2016 April 23,"['14', '29', '37', '41', '48', '49']",31,"$13,193,262",Roll
2016 April 20,"['1', '2', '7', '9', '18', '27']", 5,"$9,379,557.10",Roll
2016 April 16,"['9', '12', '21', '37', '38', '43']",31,"$7,000,000",Roll
2016 April 13,"['10', '14', '23', '41', '42', '47']",19,"$5,000,000",Roll
2016 April 9,"['12', '29', '34', '44', '47', '49']",37,"$5,000,000",Won
2016 April 6,"['1', '3', '5', '8', '13', '31']",21,"$12,985,186.40",Roll
2016 April 2,"['2', '15', '21', '40', '41', '44']",23,"$10,112,201.20",Roll
2016 March 30,"['14', '27', '28', '30', '45', '46']",44,"$7,000,000",Roll
2016 March 26,"['9', '11', '20', '22', '37', '46']",47,"$5,000,000",Roll
2016 March 23,"['4', '6', '13', '28', '29', '36']", 9,"$5,000,000",Won
2016 March 19,"['1', '10', '11', '12', '19', '27']",29,"$7,000,000",Won
2016 March 16,"['1', '3', '7', '16', '17', '37']",35,"$5,000,000",Roll
2016 March 12,"['6', '27', '30', '34', '35', '42']",16,"$13,259,788.90",Roll
2016 March 9,"['3', '5', '11', '16', '21', '45']",29,"$9,387,172.20",Roll
2016 March 5,"['7', '13', '27', '33', '35', '36']", 5,"$7,000,000",Roll
2016 March 2,"['20', '27', '30', '32', '34', '40']", 9,"$5,000,000",Roll
2016 February 27,"['4', '11', '20', '23', '41', '45']",22,"$7,240,871.20",Won
2016 February 24,"['14', '18', '35', '38', '41', '43']",15,"$5,000,000",Roll
2016 February 20,"['4', '8', '10', '30', '33', '39']",25,"$21,927,453.20",Won
2016 February 17,"['7', '21', '28', '32', '38', '42']", 5,"$17,899,310.30",Roll
2016 February 13,"['2', '9', '25', '27', '31', '42']",18,"$14,353,217.60",Roll
2016 February 10,"['8', '13', '33', '34', '38', '43']",12,"$9,978,047.10",Roll
2016 February 6,"['7', '19', '25', '26', '31', '44']",35,"$7,000,000",Roll
2016 February 3,"['20', '23', '34', '38', '43', '47']",15,"$5,000,000",Roll
2016 January 30,"['4', '5', '32', '37', '38', '44']",34,"$18,308,199.90",Won
2016 January 27,"['4', '13', '24', '36', '39', '41']",47,"$14,106,813.10",Roll
2016 January 23,"['21', '31', '34', '37', '38', '44']", 9,"$10,498,159.50",Roll
2016 January 20,"['7', '19', '32', '39', '40', '48']",45,"$7,000,000",Roll
2016 January 16,"['9', '21', '29', '34', '38', '42']",13,"$5,000,000",Roll
2016 January 13,"['6', '8', '25', '39', '46', '47']",28,"$5,000,000",Won
