Draw Date,Results,Bonus,Jackpot,Outcome
2019 July 3,"['13', '21', '26', '30', '38', '39']",19,"$15,764,627.10",Won
2019 June 29,"['2', '5', '19', '21', '29', '46']",15,"$12,560,434.30",Roll
2019 June 26,"['4', '10', '17', '24', '26', '33']", 2,"$9,296,637.40",Roll
2019 June 22,"['15', '16', '34', '35', '38', '44']",43,"$7,000,000",Roll
2019 June 19,"['21', '31', '41', '45', '46', '47']",39,"$5,000,000",Roll
2019 June 15,"['10', '19', '24', '30', '35', '49']",32,"$29,801,647",Won
2019 June 12,"['22', '23', '31', '38', '47', '48']",10,"$25,417,531.70",Roll
2019 June 8,"['9', '12', '15', '20', '24', '43']",36,"$21,701,953.50",Roll
2019 June 5,"['6', '21', '35', '46', '48', '49']",14,"$18,147,989.50",Roll
2019 June 1,"['16', '29', '34', '35', '47', '49']",10,"$14,919,256.30",Roll
2019 May 29,"['4', '5', '15', '38', '41', '42']",36,"$11,401,703.40",Roll
2019 May 25,"['12', '19', '22', '25', '45', '49']",28,"$9,000,000",Roll
2019 May 22,"['13', '19', '22', '25', '32', '35']",48,"$7,000,000",Roll
2019 May 18,"['7', '8', '13', '27', '28', '34']", 2,"$5,000,000",Roll
2019 May 15,"['5', '6', '32', '40', '42', '47']",17,"$15,752,666.40",Won
2019 May 11,"['3', '12', '26', '27', '34', '46']",29,"$12,575,424.20",Roll
2019 May 8,"['18', '19', '22', '30', '41', '48']",47,"$9,268,418.10",Roll
2019 May 4,"['3', '4', '12', '21', '41', '49']", 5,"$7,000,000",Roll
2019 May 1,"['23', '27', '28', '34', '38', '43']",48,"$5,000,000",Roll
2019 April 27,"['5', '6', '11', '16', '19', '27']",24,"$7,000,000",Won
2019 April 24,"['6', '10', '16', '17', '41', '43']",18,"$5,000,000",Roll
2019 April 20,"['11', '15', '32', '34', '44', '47']", 3,"$13,454,892.10",Won
2019 April 17,"['10', '11', '20', '26', '38', '43']", 3,"$9,035,956.10",Roll
2019 April 13,"['4', '5', '15', '23', '38', '45']",12,"$7,000,000",Roll
2019 April 10,"['10', '16', '23', '38', '39', '48']",33,"$5,000,000",Roll
2019 April 6,"['6', '19', '30', '37', '38', '49']",34,"$5,000,000",Won
2019 April 3,"['12', '17', '29', '35', '40', '47']",23,"$10,150,393.10",Won
2019 March 30,"['7', '14', '18', '26', '31', '32']", 3,"$7,000,000",Roll
2019 March 27,"['16', '19', '22', '28', '34', '48']",49,"$5,000,000",Roll
2019 March 23,"['3', '6', '20', '22', '23', '24']",19,"$5,000,000",Won
2019 March 20,"['2', '8', '17', '21', '22', '26']", 5,"$22,000,000",Won
2019 March 16,"['9', '12', '15', '20', '25', '45']",16,"$20,000,000",Roll
2019 March 13,"['4', '13', '18', '21', '26', '31']",33,"$12,776,098.40",Roll
2019 March 9,"['22', '23', '26', '34', '42', '46']", 3,"$9,764,803",Roll
2019 March 6,"['1', '3', '18', '19', '22', '37']",30,"$7,000,000",Roll
2019 March 2,"['4', '14', '21', '29', '41', '49']",35,"$5,000,000",Roll
2019 February 27,"['4', '13', '22', '25', '29', '39']", 6,"$13,345,152.30",Won
2019 February 23,"['5', '6', '10', '43', '46', '47']",27,"$10,252,605.90",Roll
2019 February 20,"['21', '22', '23', '30', '33', '43']",42,"$7,000,000",Roll
2019 February 16,"['3', '9', '10', '20', '21', '35']",31,"$5,000,000",Roll
2019 February 13,"['5', '19', '24', '29', '36', '41']", 9,"$5,000,000",Won
2019 February 9,"['1', '24', '35', '41', '42', '49']",18,"$5,000,000",Won
2019 February 6,"['1', '16', '27', '28', '36', '39']", 9,"$5,000,000",Won
2019 February 2,"['14', '16', '25', '29', '30', '48']",12,"$33,396,099",Won
2019 January 30,"['3', '7', '27', '37', '43', '48']",45,"$30,000,000",Roll
2019 January 26,"['3', '7', '10', '12', '14', '25']",36,"$24,301,574.40",Roll
2019 January 23,"['3', '19', '20', '26', '31', '38']", 6,"$20,549,650.50",Roll
2019 January 19,"['2', '13', '32', '39', '44', '49']",10,"$17,017,876.80",Roll
2019 January 16,"['4', '10', '11', '34', '46', '48']",23,"$12,521,458.30",Roll
2019 January 12,"['10', '13', '21', '30', '46', '48']",23,"$9,338,587.40",Roll
2019 January 9,"['1', '10', '27', '38', '44', '47']",41,"$7,000,000",Roll
2019 January 5,"['4', '10', '38', '40', '45', '48']",43,"$5,000,000",Roll
2019 January 2,"['13', '18', '19', '36', '37', '43']",49,"$16,319,280",Won
2020 December 30,"['7', '14', '30', '32', '38', '45']", 6,"$9,342,568.90",Won
2020 December 26,"['21', '26', '28', '33', '34', '42']",43,"$6,406,287.70",Roll
2020 December 23,"['7', '15', '24', '31', '33', '34']", 3,"$5,000,000",Roll
2020 December 19,"['1', '8', '10', '11', '17', '35']",41,"$28,936,318.10",Won
2020 December 16,"['10', '12', '20', '25', '31', '34']",42,"$25,094,953",Roll
2020 December 12,"['27', '28', '29', '36', '46', '48']",49,"$21,747,986.70",Roll
2020 December 9,"['10', '11', '14', '19', '27', '39']",40,"$17,913,673.30",Roll
2020 December 5,"['3', '10', '13', '21', '27', '45']",23,"$14,938,588.30",Roll
2020 December 2,"['22', '24', '28', '41', '47', '49']",21,"$11,906,397.70",Roll
2020 November 28,"['3', '4', '16', '23', '26', '44']",18,"$8,907,734.80",Roll
2020 November 25,"['13', '14', '31', '33', '37', '46']",40,"$6,000,000",Roll
2020 November 21,"['16', '19', '21', '34', '37', '47']",25,"$5,000,000",Roll
2020 November 18,"['7', '14', '21', '28', '30', '32']",22,"$14,061,516.10",Won
2020 November 14,"['1', '2', '13', '30', '35', '38']",45,"$11,338,665.40",Roll
2020 November 11,"['6', '14', '18', '23', '31', '47']",44,"$8,158,839.50",Roll
2020 November 7,"['1', '16', '19', '24', '26', '47']",29,"$6,000,000",Roll
2020 November 4,"['2', '9', '13', '18', '40', '46']",34,"$5,000,000",Roll
2020 October 31,"['5', '8', '18', '22', '41', '48']",23,"$6,000,000",Won
2020 October 28,"['2', '3', '16', '25', '34', '46']",49,"$5,000,000",Roll
2020 October 24,"['4', '9', '17', '20', '26', '31']",34,"$14,250,815.80",Won
2020 October 21,"['26', '28', '32', '37', '40', '47']",10,"$11,225,628.30",Roll
2020 October 17,"['7', '8', '9', '24', '25', '34']",14,"$8,289,408.10",Roll
2020 October 14,"['10', '18', '20', '38', '39', '44']",40,"$6,000,000",Roll
2020 October 10,"['6', '23', '24', '29', '36', '38']",25,"$5,000,000",Roll
2020 October 7,"['4', '5', '12', '13', '18', '19']",34,"$6,000,000",Roll
2020 October 3,"['12', '22', '24', '37', '39', '43']",16,"$5,000,000",Roll
2020 September 30,"['13', '16', '20', '21', '27', '48']",15,"$5,000,000",Won
2020 September 26,"['8', '27', '29', '33', '40', '49']", 2,"$8,435,999.30",Won
2020 September 23,"['11', '17', '28', '29', '36', '39']",15,"$6,000,000",Roll
2020 September 19,"['5', '15', '31', '35', '42', '46']",17,"$5,000,000",Roll
2020 September 16,"['6', '12', '23', '29', '44', '46']",39,"$5,000,000",Won
2020 September 12,"['5', '13', '19', '37', '42', '45']",40,"$18,243,990.50",Won
2020 September 9,"['3', '5', '9', '19', '29', '37']",42,"$14,205,509.90",Roll
2020 September 5,"['1', '8', '10', '33', '34', '38']", 4,"$11,226,615.50",Roll
2020 September 2,"['1', '5', '15', '23', '25', '31']",40,"$7,995,393.10",Roll
2020 August 29,"['3', '13', '21', '24', '29', '40']",35,"$6,000,000",Roll
2020 August 26,"['6', '8', '20', '23', '35', '39']",11,"$5,000,000",Roll
2020 August 22,"['19', '25', '34', '36', '40', '43']",32,"$6,000,000",Won
2020 August 19,"['2', '17', '32', '37', '39', '42']", 9,"$5,000,000",Roll
2020 August 15,"['6', '7', '11', '18', '22', '43']", 9,"$17,405,149",Won
2020 August 12,"['16', '24', '27', '43', '48', '49']",39,"$14,387,584.30",Roll
2020 August 8,"['1', '20', '21', '23', '40', '46']",28,"$11,170,115.20",Roll
2020 August 5,"['3', '14', '23', '30', '38', '43']",24,"$8,026,323.70",Roll
2020 August 1,"['12', '13', '17', '22', '39', '40']",25,"$6,000,000",Roll
2020 July 29,"['1', '11', '17', '19', '22', '45']",14,"$5,000,000",Roll
2020 July 25,"['6', '21', '34', '44', '45', '48']",33,"$5,000,000",Won
2020 July 22,"['5', '14', '19', '42', '46', '47']", 8,"$17,078,167.40",Won
2020 July 18,"['5', '23', '37', '40', '44', '45']",47,"$14,041,111.30",Roll
2020 July 15,"['5', '7', '17', '22', '43', '44']",14,"$10,857,697.80",Roll
2020 July 11,"['16', '22', '31', '36', '43', '44']",46,"$8,274,617.10",Roll
2020 July 8,"['11', '26', '28', '35', '37', '47']", 8,"$6,000,000",Roll
2020 July 4,"['15', '20', '27', '34', '38', '42']",47,"$5,000,000",Roll
2020 July 1,"['1', '12', '27', '30', '34', '49']",35,"$6,000,000",Won
2020 June 27,"['1', '13', '14', '24', '36', '44']", 7,"$5,000,000",Roll
2020 June 24,"['6', '16', '23', '39', '47', '48']",33,"$16,058,552.50",Won
2020 June 20,"['14', '22', '29', '36', '48', '49']",19,"$13,102,902.50",Roll
2020 June 17,"['5', '10', '18', '29', '32', '48']", 6,"$10,044,913.80",Roll
2020 June 13,"['3', '31', '34', '38', '45', '48']",12,"$7,541,677.40",Roll
2020 June 10,"['3', '13', '25', '33', '34', '45']",14,"$6,000,000",Roll
2020 June 6,"['6', '22', '38', '45', '48', '49']", 2,"$5,000,000",Roll
2020 June 3,"['2', '15', '20', '22', '29', '39']",13,"$6,000,000",Won
2020 May 30,"['11', '17', '27', '28', '30', '43']",35,"$5,000,000",Roll
2020 May 27,"['7', '17', '18', '22', '28', '34']", 1,"$24,369,459",Won
2020 May 23,"['4', '25', '27', '28', '35', '44']", 9,"$21,441,799.20",Roll
2020 May 20,"['8', '23', '25', '34', '37', '47']", 4,"$18,371,412",Roll
2020 May 16,"['1', '6', '7', '14', '26', '48']",49,"$15,764,479.20",Roll
2020 May 13,"['3', '10', '21', '35', '38', '48']",28,"$13,030,158.50",Roll
2020 May 9,"['13', '14', '15', '35', '45', '47']", 9,"$10,670,690.10",Roll
2020 May 6,"['6', '29', '34', '36', '45', '49']", 3,"$8,145,957.10",Roll
2020 May 2,"['15', '18', '26', '34', '43', '45']",42,"$7,000,000",Roll
2020 April 29,"['6', '17', '21', '30', '40', '41']",27,"$6,000,000",Roll
2020 April 25,"['6', '10', '11', '22', '32', '48']",17,"$5,000,000",Roll
2020 April 22,"['9', '10', '11', '14', '15', '28']",36,"$6,000,000",Won
2020 April 18,"['1', '10', '23', '32', '46', '48']",36,"$5,000,000",Roll
2020 April 15,"['1', '3', '7', '13', '22', '47']",30,"$16,460,052.50",Won
2020 April 11,"['10', '14', '17', '32', '35', '42']",26,"$14,566,148.60",Roll
2020 April 8,"['9', '13', '21', '23', '30', '32']",15,"$12,308,036.50",Roll
2020 April 4,"['19', '29', '34', '35', '44', '45']",10,"$10,245,369.20",Roll
2020 April 1,"['4', '6', '10', '13', '25', '49']",41,"$9,000,000",Roll
2020 March 28,"['2', '7', '21', '30', '33', '46']",27,"$8,000,000",Roll
2020 March 25,"['3', '19', '31', '38', '45', '47']",48,"$7,000,000",Roll
2020 March 21,"['6', '11', '22', '36', '37', '45']",10,"$5,000,000",Roll
2020 March 18,"['7', '8', '9', '12', '14', '36']",28,"$9,000,000",Won
2020 March 14,"['1', '2', '23', '27', '31', '32']",43,"$7,000,000",Roll
2020 March 11,"['5', '24', '32', '37', '43', '44']",23,"$5,000,000",Roll
2020 March 7,"['5', '8', '13', '27', '34', '46']",39,"$11,436,313.10",Won
2020 March 4,"['6', '8', '15', '24', '38', '41']",31,"$9,000,000",Roll
2020 February 29,"['6', '12', '15', '18', '31', '46']",13,"$7,000,000",Roll
2020 February 26,"['8', '25', '34', '35', '36', '38']", 5,"$5,000,000",Roll
2020 February 22,"['2', '7', '26', '33', '46', '48']",25,"$5,000,000",Won
2020 February 19,"['5', '6', '13', '23', '44', '49']",40,"$7,000,000",Won
2020 February 15,"['7', '8', '11', '23', '27', '30']", 3,"$5,000,000",Roll
2020 February 12,"['16', '20', '24', '33', '36', '47']", 4,"$5,000,000",Won
2020 February 8,"['8', '28', '30', '39', '41', '43']",45,"$9,053,760.30",Won
2020 February 5,"['1', '3', '6', '24', '29', '45']",48,"$7,000,000",Roll
2020 February 1,"['13', '21', '35', '40', '45', '48']",47,"$5,000,000",Roll
2020 January 29,"['3', '14', '16', '23', '41', '43']",29,"$9,000,000",Won
2020 January 25,"['8', '20', '21', '30', '32', '48']",31,"$7,000,000",Roll
2020 January 22,"['2', '10', '27', '30', '39', '43']",21,"$5,000,000",Roll
2020 January 18,"['2', '5', '10', '18', '26', '30']",36,"$7,000,000",Won
2020 January 15,"['1', '17', '23', '25', '26', '34']",24,"$5,000,000",Roll
2020 January 11,"['2', '3', '7', '18', '24', '26']", 6,"$5,000,000",Won
2020 January 8,"['2', '5', '19', '44', '48', '49']",24,"$25,127,625.50",Won
2020 January 4,"['23', '24', '36', '42', '45', '46']",21,"$21,114,260.30",Roll
2020 January 1,"['11', '23', '30', '35', '39', '43']",34,"$16,467,012.80",Roll
2021 December 29,"['18', '32', '42', '44', '45', '48']",38,"$21,694,710.30",Roll
2021 December 25,"['4', '13', '21', '24', '31', '45']",41,"$18,262,578.10",Roll
2021 December 22,"['1', '2', '3', '11', '15', '43']",46,"$13,854,022.70",Roll
2021 December 18,"['2', '10', '15', '16', '20', '49']",18,"$10,855,866.90",Roll
2021 December 15,"['1', '9', '12', '18', '35', '48']",19,"$7,795,964.50",Roll
2021 December 11,"['1', '6', '26', '27', '43', '46']",12,"$6,000,000",Roll
2021 December 8,"['23', '25', '26', '36', '40', '49']",42,"$5,000,000",Roll
2021 December 4,"['5', '11', '15', '28', '31', '47']",19,"$8,838,895.20",Won
2021 December 1,"['14', '17', '27', '34', '36', '42']", 8,"$6,000,000",Roll
2021 November 27,"['6', '7', '14', '23', '35', '41']",11,"$5,000,000",Roll
2021 November 24,"['10', '11', '18', '20', '35', '48']",39,"$5,000,000",Won
2021 November 20,"['15', '25', '26', '29', '42', '43']",22,"$7,520,900.70",Won
2021 November 17,"['3', '4', '18', '23', '27', '28']",38,"$6,000,000",Roll
2021 November 13,"['5', '6', '7', '18', '25', '37']",24,"$5,000,000",Roll
2021 November 10,"['2', '7', '18', '19', '23', '25']",43,"$16,511,291.40",Won
2021 November 6,"['14', '16', '28', '39', '41', '47']",37,"$13,834,285.10",Roll
2021 November 3,"['9', '20', '27', '35', '37', '43']", 3,"$10,632,311.90",Roll
2021 October 30,"['3', '5', '7', '23', '42', '46']",15,"$7,889,880.90",Roll
2021 October 27,"['3', '9', '14', '36', '40', '46']",41,"$6,000,000",Roll
2021 October 23,"['1', '3', '9', '40', '42', '44']",46,"$5,000,000",Roll
2021 October 20,"['6', '9', '34', '35', '48', '49']",41,"$10,255,029.70",Won
2021 October 16,"['5', '10', '11', '33', '44', '47']",20,"$7,419,046.50",Roll
2021 October 13,"['2', '7', '8', '11', '19', '27']",24,"$6,000,000",Roll
2021 October 9,"['1', '11', '19', '27', '28', '38']", 8,"$5,000,000",Roll
2021 October 6,"['7', '18', '19', '38', '42', '46']",31,"$11,580,839.80",Won
2021 October 2,"['8', '17', '18', '19', '48', '49']",26,"$8,732,690.50",Roll
2021 September 29,"['3', '5', '38', '39', '41', '48']",28,"$6,000,000",Roll
2021 September 25,"['3', '8', '10', '35', '46', '48']",17,"$5,000,000",Roll
2021 September 22,"['5', '14', '19', '30', '38', '40']",27,"$21,185,218.10",Won
2021 September 18,"['9', '26', '29', '36', '40', '41']",27,"$17,813,114.40",Roll
2021 September 15,"['7', '11', '14', '15', '27', '41']",49,"$14,322,622.10",Roll
2021 September 11,"['15', '18', '31', '33', '34', '41']",45,"$11,575,431.40",Roll
2021 September 8,"['2', '7', '10', '16', '28', '36']",41,"$8,328,376.50",Roll
2021 September 4,"['6', '13', '18', '19', '29', '49']", 2,"$6,000,000",Roll
2021 September 1,"['3', '4', '14', '18', '19', '42']",43,"$5,000,000",Roll
2021 August 28,"['6', '8', '9', '12', '19', '26']",43,"$10,990,458.70",Won
2021 August 25,"['1', '16', '34', '37', '41', '48']",21,"$8,054,088.10",Roll
2021 August 21,"['2', '9', '15', '21', '38', '46']",36,"$6,000,000",Roll
2021 August 18,"['7', '8', '28', '30', '32', '42']",33,"$5,000,000",Roll
2021 August 14,"['3', '8', '11', '34', '40', '47']", 4,"$20,000,000",Won
2021 August 11,"['12', '15', '25', '40', '44', '45']",31,"$14,868,291.10",Roll
2021 August 7,"['10', '13', '15', '22', '29', '46']", 3,"$11,873,483.20",Roll
2021 August 4,"['3', '8', '21', '38', '42', '49']",27,"$8,664,204.20",Roll
2021 July 31,"['7', '30', '37', '43', '47', '49']",20,"$6,000,000",Roll
2021 July 28,"['1', '4', '10', '14', '32', '39']",19,"$5,000,000",Roll
2021 July 24,"['1', '5', '7', '19', '37', '45']",35,"$6,000,000",Won
2021 July 21,"['2', '4', '15', '20', '35', '45']",10,"$5,000,000",Roll
2021 July 17,"['22', '24', '28', '35', '37', '45']",49,"$6,000,000",Won
2021 July 14,"['2', '9', '19', '23', '26', '30']",10,"$5,000,000",Roll
2021 July 10,"['4', '5', '18', '28', '35', '42']", 2,"$18,680,003.80",Won
2021 July 7,"['11', '16', '21', '26', '42', '45']",22,"$14,771,004.40",Roll
2021 July 3,"['4', '7', '10', '31', '33', '38']",23,"$11,610,401.30",Roll
2021 June 30,"['9', '10', '13', '26', '28', '30']",36,"$8,413,621.70",Roll
2021 June 26,"['15', '27', '36', '37', '43', '49']", 7,"$6,000,000",Roll
2021 June 23,"['9', '17', '20', '22', '34', '40']",48,"$5,000,000",Roll
2021 June 19,"['13', '15', '17', '25', '34', '45']", 5,"$6,000,000",Won
2021 June 16,"['16', '23', '32', '33', '37', '45']", 3,"$5,000,000",Roll
2021 June 12,"['11', '20', '22', '33', '41', '49']",34,"$9,440,109.40",Won
2021 June 9,"['1', '3', '15', '26', '28', '39']",10,"$6,087,190.80",Roll
2021 June 5,"['13', '15', '22', '42', '45', '46']",14,"$5,000,000",Roll
2021 June 2,"['1', '13', '22', '32', '33', '39']",48,"$5,000,000",Won
2021 May 29,"['11', '18', '19', '27', '34', '46']",42,"$6,000,000",Won
2021 May 26,"['7', '10', '20', '38', '45', '49']",26,"$5,000,000",Roll
2021 May 22,"['7', '13', '14', '34', '37', '45']",29,"$8,874,166.80",Won
2021 May 19,"['12', '21', '25', '40', '42', '49']",45,"$6,000,000",Roll
2021 May 15,"['3', '6', '12', '28', '39', '46']", 5,"$5,000,000",Roll
2021 May 12,"['30', '35', '39', '42', '46', '48']",38,"$27,505,450.30",Won
2021 May 8,"['25', '28', '36', '38', '41', '49']",20,"$23,543,013.10",Roll
2021 May 5,"['5', '22', '23', '26', '43', '46']", 4,"$18,937,874.80",Roll
2021 May 1,"['10', '15', '21', '30', '32', '38']",24,"$15,661,218.20",Roll
2021 April 28,"['6', '11', '20', '22', '34', '49']",42,"$11,966,090",Roll
2021 April 24,"['14', '18', '27', '33', '34', '39']",49,"$8,792,246.30",Roll
2021 April 21,"['15', '18', '23', '32', '38', '47']",19,"$6,000,000",Roll
2021 April 17,"['7', '13', '32', '38', '39', '48']",23,"$5,000,000",Roll
2021 April 14,"['4', '6', '12', '23', '36', '47']",18,"$22,802,554.60",Won
2021 April 10,"['5', '16', '19', '24', '28', '34']", 4,"$19,472,212",Roll
2021 April 7,"['23', '31', '34', '38', '39', '41']",12,"$15,981,791.40",Roll
2021 April 3,"['12', '13', '19', '35', '42', '47']",28,"$12,766,681.10",Roll
2021 March 31,"['3', '7', '8', '12', '37', '40']",41,"$9,308,411.70",Roll
2021 March 27,"['15', '16', '17', '30', '36', '40']",34,"$6,551,908",Roll
2021 March 24,"['3', '4', '27', '43', '45', '48']",44,"$5,000,000",Roll
2021 March 20,"['9', '16', '25', '36', '39', '43']",49,"$6,000,000",Won
2021 March 17,"['4', '9', '13', '25', '44', '49']", 3,"$5,000,000",Roll
2021 March 13,"['15', '24', '27', '29', '42', '49']",18,"$27,146,339.50",Won
2021 March 10,"['30', '31', '35', '36', '43', '48']",28,"$23,062,615.20",Roll
2021 March 6,"['2', '14', '18', '21', '26', '48']",19,"$20,000,000",Roll
2021 March 3,"['3', '11', '33', '34', '36', '43']",42,"$15,323,835",Roll
2021 February 27,"['11', '15', '16', '20', '46', '49']",17,"$12,204,576.80",Roll
2021 February 24,"['11', '36', '37', '38', '39', '45']",10,"$8,631,498",Roll
2021 February 20,"['2', '14', '15', '21', '29', '46']", 7,"$6,000,000",Roll
2021 February 17,"['7', '16', '18', '43', '45', '48']",14,"$5,000,000",Roll
2021 February 13,"['16', '17', '27', '40', '41', '45']",38,"$5,000,000",Won
2021 February 10,"['4', '14', '22', '26', '45', '48']",20,"$15,035,008.70",Won
2021 February 6,"['6', '11', '12', '26', '28', '38']",47,"$12,022,027.40",Roll
2021 February 3,"['20', '21', '26', '30', '35', '41']",47,"$8,776,778.50",Roll
2021 January 30,"['3', '23', '26', '35', '42', '44']",32,"$6,000,000",Roll
2021 January 27,"['12', '17', '23', '36', '44', '49']",32,"$5,000,000",Roll
2021 January 23,"['5', '17', '21', '29', '41', '43']",46,"$8,493,122.80",Won
2021 January 20,"['2', '5', '18', '23', '29', '47']",45,"$6,000,000",Roll
2021 January 16,"['9', '10', '21', '28', '35', '43']",34,"$5,000,000",Roll
2021 January 13,"['20', '27', '28', '37', '38', '39']", 9,"$5,000,000",Won
2021 January 9,"['4', '8', '18', '24', '31', '32']",40,"$8,730,601",Won
2021 January 6,"['15', '23', '30', '31', '32', '42']",48,"$6,000,000",Roll
2021 January 2,"['16', '17', '20', '42', '47', '49']",40,"$5,000,000",Roll
